,star name,Stellar Type,TIC ID,Coordinates,data type
1,G191B2B,White Dwarf,TIC 327587572,05 05 30.61728354788 +52 49 54.0171969375,2
2,GD71,White Dwarf,TIC 247923021,05 52 27.50828832784 +15 53 16.6195898364,2
3,GD153,White Dwarf,TIC 149505899,12 57 02.37  +22 01 56.0 ,2
4,LDS749B,White Dwarf,TIC 352817378,21 32 16.01  +00 15 14.3 ,none
5,WD1057+719,White Dwarf,TIC 147921014,11 00 34.31  +71 38 03.3 ,2
6,WD1657+343,White Dwarf,TIC 471015233,16 58 51.10  +34 18 54.3 ,2
7,HD 166205,A-Star,TIC 383553764,17 32 13.00000000002 +86 35 11.3000000000,2
8,HD 14943,A-Star,TIC 166698220,02 22 54.67  -51 05 31.7 ,2
9,HD 42525,A-Star,TIC 41232189,06 06 09.38 -66 02 22.6,2
10,HD 128998,A-Star,TIC 298165335,14 38 15.22 +54 01 24.0,2
11,HD 158485,A-Star,TIC 198456033,17 26 04.84  +58 39 06.8 ,2
12,HD 163466,A-Star,TIC 219820925,17 52 25.37  +60 23 46.9 ,30
13,HD 101452,A-Star,TIC 181240911,11 40 13.65 -39 08 47.7,2
14,HD 2811,A-Star,TIC 80313923,00 31 18.50 -43 36 23.0,none
15,HD 37725,A-Star,TIC 75586606,05 41 54.37 +29 17 50.9 ,none
16,HD 116405,A-Star,TIC 165370459,13 22 45.12 +44 42 53.9 ,2
17,HD 180609,A-Star,TIC 229945862,19 12 47.20 +64 10 37.2 ,30
18,HD 55677,A-Star,TIC 440765193,07 14 31.29 +13 51 36.8,30
19,BD+60 1753,A-Star,TIC 219752116,17 24 52.27  +60 25 50.7 ,2
20,HD 146233,G-Star,TIC 135656809,16 15 37.27 -08 22 10.0,none
21,HD 186427,G-Star,TIC 27533327,19 41 51.97 +50 31 03.1,2
22,HD 159222,G-Star,TIC 39464221,17 32 00.99 +34 16 16.1 ,2
23,HD 205905,G-Star,TIC 441120034,21 39 10.15  -27 18 23.7 ,2
24,HD 106252,G-Star,TIC 397558558,12 13 29.51  +10 02 29.9 ,none
25,HD 37962,G-Star,TIC 140282069,05 40 51.97  -31 21 04.0 ,2
26,HD 209458,G-Star,TIC 420814525,22 03 10.77 +18 53 03.5,none
27,HD 38949,G-Star,TIC 32869782,05 48 20.06  -24 27 49.9 ,2
28,HD 142331,G-Star,TIC 54837036,15 54 19.79 -08 34 49.4,none
29,HD 167060,G-Star,TIC 365653206,18 17 44.14 -61 42 31.6,2
30,HD 115169,G-Star,TIC 229980646,13 15 47.39 -29 30 21.2,2
31,P330E,G-Star,TIC 8591766,16 31 33.85 +30 08 47.1,30
32,P177D,G-Star,TIC 417544924,15 59 13.59  +47 36 41.8 ,30
33,C26202,G-Star,TIC 144599609,03 32 32.88  -27 51 48.0 ,30
34,SF1615+001A,G-Star,TIC 315627636,16 18 14.23  +00 00 08.4 ,none
35,SNAP-2,G-Star,TIC 207440438,16 19 46.13  +55 34 17.7 ,30
36,1757132,A-Star,TIC 219094190,17 57 13.25 +67 03 40.9 ,30
37,1812095,A-Star,TIC 233095291,18 12 9.56 +63 29 42.3 ,30
38,1808347,A-Star,TIC 219114641,18 08 34.75  +69 27 28.7 ,30
39,1802271,A-Star,TIC 233067231,18 02 27.17  +60 43 35.6,30
40,1805292,A-Star,TIC 233075513,18 05 29.3  +64 27 52.1 ,30
41,1732526,A-Star,TIC 219897252,17 32 52.64  +71 04 43.1,30
42,1743045,A-Star,TIC 233205654,17 43 04.48  +66 55 01.6 ,30