1/1000 false alarm probability ( ~5 times the mean noise level)  via the bootstrap method,,
TIC,Sector,Bootstrap [5*NoiseLevel]
41232189,3,0.00307424
41232189,6,0.00285711
41232189,9,0.00293865
41232189,10,0.0025039
41232189,13,0.002722
41232189,30,0.002753
41232189,33,0.00277131
41232189,36,0.00260814
41232189,37,0.00287869
147921014,14,0.19892927
147921014,20,0.1972516
147921014,21,0.17707576
149505899,23,0.06850646
166698220,2,0.00081448
166698220,3,0.00085999
166698220,29,0.00103005
166698220,30,0.00091034
198456033,14,0.00567081
198456033,15,0.00629586
198456033,16,0.00649157
198456033,17,0.00676846
198456033,18,0.00655644
198456033,19,0.00614196
198456033,20,0.00607956
198456033,21,0.00577639
198456033,22,0.006071750423
198456033,23,0.006121205888
198456033,24,0.006180630965
198456033,25,0.005998816026
198456033,26,0.006215370715
247923021,6,0.070244357
247923021,33,0.059466907
298165335,16,0.00106501
298165335,22,0.00121934
298165335,23,0.00115026
327587572,19,0.022854303
383553764,19,0.00059025
383553764,20,0.00080249
383553764,25,0.00049684
471015233,25,1.38316989
181240911,10,0.002046143691
165370459,22,0.003160436619
165370459,23,0.003138879882
219752116,24,0.005645342406
27533327,14,0.004674478079
27533327,15,0.01027011994
39464221,25,0.00163882
39464221,26,0.00155651
441120034,1,0.0083211
441120034,28,0.00469361
140282069,5,0.00219291
140282069,6,0.00186062
140282069,32,0.00165068
140282069,33,0.00193183
32869782,6,0.02299331
32869782,32,0.01593846
32869782,33,0.01590506
365653206,13,0.00264487
365653206,39,0.00249566
229980646,10,0.00391284
229980646,37,0.00360366
219820925,14,0.01007095
219820925,15,0.01038415
219820925,16,0.01021444
219820925,17,0.01082724
219820925,18,0.01084106
219820925,20,0.01036968
219820925,21,0.01043202
219820925,22,0.01031286
219820925,23,0.01122338
219820925,24,0.01003033
219820925,25,0.01109221
219820925,26,0.01126547
229945862,14,0.00637555
229945862,15,0.00774404
229945862,16,0.00732206
229945862,17,0.00726863
229945862,18,0.00667294
229945862,19,0.00547017
229945862,20,0.0054691
229945862,21,0.00536879
229945862,22,0.00645992
229945862,23,0.00704668
229945862,24,0.00533603
229945862,25,0.00542204
229945862,26,0.00591149
440765193,7,0.01253319
440765193,33,0.00818456
8591766,24,0.03538513
8591766,25,0.03386752
417544924,23,0.05244642
417544924,24,0.06521601
144599609,4,0.37620865
144599609,31,0.42746445
207440438,16,0.27421034
207440438,22,0.21961753
207440438,23,0.22251526
207440438,24,0.25219748
207440438,25,0.27075037
219094190,15,0.02183753
219094190,16,0.01828155
219094190,19,0.02460488
219094190,22,0.02431215
219094190,24,0.01651893
219094190,25,0.02056333
233095291,14,0.07029641
233095291,15,0.05230225
233095291,16,0.05650949
233095291,18,0.07779467
233095291,19,0.06651
233095291,20,0.07870012
233095291,21,0.07045817
233095291,22,0.0531787
233095291,23,0.05621361
233095291,24,0.07157392
233095291,25,0.0833767
233095291,26,0.07619061
219114641,14,0.02912858
219114641,15,0.0299566
219114641,16,0.03098131
219114641,17,0.02993464
219114641,18,0.03011139
219114641,20,0.02843122
219114641,21,0.02812572
219114641,23,0.03673344
219114641,24,0.02849565
219114641,25,0.03313234
219114641,26,0.03336876
233067231,14,0.02079763
233067231,15,0.02858762
233067231,16,0.02354919
233067231,17,0.02729088
233067231,18,0.02301985
233067231,19,0.02036031
233067231,20,0.01931747
233067231,21,0.02066198
233067231,22,0.02494232
233067231,23,0.03148247
233067231,24,0.01970108
233067231,25,0.03970514
233075513,14,0.0250376
233075513,15,0.03898943
233075513,16,0.0290753
233075513,17,0.04196046
233075513,18,0.0328254
233075513,19,0.03447358
233075513,21,0.05060318
233075513,22,0.02434063
233075513,24,0.02625868
233075513,25,0.03009372
233075513,26,0.03865965
219897252,14,0.03833769
219897252,15,0.03695839
219897252,16,0.03242714
219897252,18,0.04151779
219897252,19,0.04406097
219897252,20,0.04070107
219897252,21,0.03394099
219897252,22,0.04491861
219897252,23,0.04813529
219897252,24,0.03356422
219897252,25,0.03580017
219897252,26,0.03729429
233205654,14,0.06130492
233205654,16,0.06387747
233205654,17,0.05537055
233205654,18,0.06663809
233205654,20,0.04648534
233205654,21,0.06638331
233205654,23,0.06748131
233205654,24,0.05158763
233205654,25,0.06861937
233205654,26,0.07311922
352817378,none,
135656809,none,
397558558,none,
420814525,none,
54837036,none,
315627636,none,
80313923,none,
75586606,none,